,id_iklan,status_iklan,created_at,user_id,title,description,price,prov,kota,lat,lon
47,771821418,active,2020-02-11T15:39:55+07:00,100136246,Viksen ks f kabupaten cash & credit,Ss kumplit pajak idup mesin bagus listrik normal bodi mulus terawat siap pakai,12500000.0,Jawa Barat,Bogor Kota,-6.642,106.823
48,771820680,active,2020-02-11T15:34:47+07:00,95135167,Jual Cepat Yamaha Vixion 2014,"Jual Cepat Yamaha Vixion 2014 
Lengkap, pajak dan plat masih panjang,
Plat BM Kampar petapahan,
Masih atas nama sendiri , jadi kalau mau balik nama mudah",14500000.0,Riau,Pekanbaru Kota,0.507,101.447
49,771820677,active,2020-02-11T15:34:47+07:00,102659687,Jual motor yamaha vixion,Dijual motor yamaha vixion harga 14 jt nego ss lengkap pajak mati 1 tahun mesin oke siap jalan jauh. Hanya melayani yang serius,14000000.0,Sumatra Barat,Padang Kota,-0.797,100.417
50,771820421,active,2020-02-11T15:32:56+07:00,60827088,vixion old hitam,"surat surat lengkap
pajek off 2015
plat b jakarta
stater hidup
jual cepet aja",9800000.0,Lampung,Bandar Lampung Kota,-5.415,105.251
51,771820121,active,2020-02-11T15:31:14+07:00,60827088,vixion old jual cepet,"surat surat lengkap
pajek hidup
plat be kota madia
stater hidup lancar
mesin noken dijamin aman",10800000.0,Lampung,Bandar Lampung Kota,-5.415,105.251
52,771819776,active,2020-02-11T15:28:54+07:00,60827088,vixion old merah kredit dp 1 juta,"dp 1 juta


18bln  1,010,000
24bln 821,000
30bln 715,000
36bln 647,000


* sudah termasuk balik nama atas nama pembeli
* sudah termasuk mutasi kenplat bandar lampung
* bonus helm baru
* bonus oli baru
* sudah termasuk pajek dan plat baru",13000000.0,Lampung,Bandar Lampung Kota,-5.415,105.251
53,771819627,active,2020-02-11T15:27:47+07:00,96226319,Yamaha vixon th 2011 mulus,"Jual cpt yamaha vixion th 2011
Motor masih sangat bagus mulus terawat dg baik/ istimewa 
Asli Ab sleman 
Warna favorit putih
Pajak panjang surat2 lkp
Mesin alus 
Hg 12,2jt nego
Monggo yg minat silahkan langsung di pantau saja unit di gaglik yk",12200000.0,Yogyakarta D.I.,Sleman Kab.,-7.717,110.396
54,771818327,active,2020-02-11T15:19:59+07:00,92586408,Motor v-xion type r,"Jual motor vixion thn 2017 gan terbaru tranmisi/gigi sampai gigi 6, harga 21jt nego halus yg minat silahkan cek sendiri,,, pajak panjang tangan pertama motor mulus...",21000000.0,Jawa Barat,Depok Kota,-6.364,106.859
55,771818160,active,2020-02-11T15:18:51+07:00,3645913,NEW VIXION R GRESS BERGARANSI PROSES CEPAT CASH N KREDIT PJK HIDUP GAS,"Harga yg tertera adalah harga kredit
Hati-hati terjebak harga di tempat lain

DP murah angs murah 
Body oke Mesin gress
Siap pakai no PR
Motor second berkualitas 
Sudah service ganti oli 
Garansi mesin 2 bulan 

Hati-hati penipuan 
KTP daerah bisa kami bantu (ketentuan berlaku) 
Rumah ngontrak bisa 
Kami bantu sampai dapat motor 
Cukup WA data kami jemput

Info stok dan selanjutnya WA 
Cash nego WA 
Nomer kami ada wa-nya 
Silahkan di add
Chat di luar jam kerja dibalas besoknya

Alamat dealer
Jl.wibawa mukti II no.9 
Jatiasih bekasi 

#lokasi yg tertera hanyalah titik iklan
Agar tersebar luaskan
#wa ya nanti kami sharelokasi",19000000.0,Jawa Barat,Bekasi Kota,-6.236,107.024
56,771812781,active,2020-02-11T15:18:51+07:00,60827088,new vixion advance cash/kredit/tt,"dp 2 juta

18bln  1,138,000
24bln 934,000
30bln 815,000
36bln 738,000

* sudah termasuk balik nama atas nama pembeli
* sudah termasuk mutasi kenplat bandar lampung
* bonus helm baru
* bonus oli baru
* sudah termasuk pajek dan plat baru",16000000.0,Lampung,Bandar Lampung Kota,-5.415,105.251
