title,user_name,rating,review_date,review_text,reply_text
Bukalapak-JualBeliOnline,Ulala,Rated 1 stars out of five stars,"March 5, 2019","kerja sama bukalapak dengan DANA sama sekali NOT RECOMMENDED! masa iya cuma persoalan utk ganti no hp di akun DANA aja persyaratan nya nyusahin banget (krn no hp yang sebelumnya udah hangus/gak aktif). Utk ganti no hp mesti hubungi ke pihak DANA nya langsung via email/no tlp n 1 syarat yg nyusahin tuh mesti ada surat keterangan dr provider kalo no hp sudah tdk aktif, kalo gak ada mesti kirim surat pernyataan disertai materai ke kantor nya DANA. Untung saldo DANA cuma 50rb aja, ya udah tuh ambil!","PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,Suradi MR,Rated 5 stars out of five stars,"March 5, 2019",Great app. I love Indonesia's product,
Bukalapak-JualBeliOnline,rarura rarura,Rated 5 stars out of five stars,"March 5, 2019","tampilan toko yg kita ikuti agak susah dmunculkan, mohon d permudah spt aplikasi sebelah 🙏😊",
Bukalapak-JualBeliOnline,Nadya Paskaria Aruan,Rated 5 stars out of five stars,"March 5, 2019",good,
Bukalapak-JualBeliOnline,Yovi F,Rated 5 stars out of five stars,"March 5, 2019",Great Aplication,
Bukalapak-JualBeliOnline,Spotter Tjoepoe,Rated 4 stars out of five stars,"March 5, 2019",Sudah mulai membaik.. Semoga lebih baik lagi..,"PT Bukalapak.comFebruary 13, 2019Mohon maaf atas kendala yang Kakak alami. Silakan infokan detail kendala kamu melalui form berikut: https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya dapat segera terselesaikan ya."
Bukalapak-JualBeliOnline,A Google user,Rated 5 stars out of five stars,"March 5, 2019",so cool app,
Bukalapak-JualBeliOnline,Mawar Channel,Rated 5 stars out of five stars,"March 5, 2019",good and investasiaon,
Bukalapak-JualBeliOnline,Aprillia Hart,Rated 2 stars out of five stars,"March 5, 2019",berkali-kali konfirmasi akun tidak bisa. mau refund barang juga tidak bisa. tolong diperbaiki ya...,"PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,Ade Dicky,Rated 4 stars out of five stars,"March 5, 2019",good,
Bukalapak-JualBeliOnline,Suryo Miyoko,Rated 5 stars out of five stars,"March 5, 2019",terima kasih atas free ongkir dan cashbacks,
Bukalapak-JualBeliOnline,ari sabana,Rated 5 stars out of five stars,"March 5, 2019",samakin berkembang aplikasi BL,
Bukalapak-JualBeliOnline,Frankie Dendeng,Rated 4 stars out of five stars,"March 5, 2019",good product n best price,
Bukalapak-JualBeliOnline,A Google user,Rated 5 stars out of five stars,"March 5, 2019",🙌,
Bukalapak-JualBeliOnline,Agus Dwiyanto,Rated 5 stars out of five stars,"March 5, 2019",Asyik,
Bukalapak-JualBeliOnline,Refky Oktora,Rated 5 stars out of five stars,"March 5, 2019",goooddd aplicatioonn for online shoping,
Bukalapak-JualBeliOnline,Ahmad Jatmiko,Rated 5 stars out of five stars,"March 5, 2019",mantul,
Bukalapak-JualBeliOnline,Tommy Cheng,Rated 1 stars out of five stars,"March 5, 2019",DANA is the biggest scam!,
Bukalapak-JualBeliOnline,Anggi Yusuf,Rated 5 stars out of five stars,"March 5, 2019",kerem,
Bukalapak-JualBeliOnline,A Google user,Rated 5 stars out of five stars,"March 5, 2019",makasih Bukalapak. memudakan menjual dan membeli dengan aman.,
Bukalapak-JualBeliOnline,Dyke Roeshanta,Rated 5 stars out of five stars,"March 5, 2019","minta tolong agar no akun ""dana"" bisa d ganti. karena saya ganti no hp. dan harus login ulang tp tidak bsa karna sudah saya rubah akun yg lama dengan no yg baru. saya tdk bsa transaksi. selama belum di perbaiki mohon maaf saya pakai toko online lain. terima kasih",
Bukalapak-JualBeliOnline,Has Jan,Rated 5 stars out of five stars,"March 5, 2019",SAYA DUKUNG PRODUK ANAK BANGSA,
Bukalapak-JualBeliOnline,aby ibra,Rated 1 stars out of five stars,"March 5, 2019","FIX UNINSTALL, serbu seru smuanya penuh kepalsuan, jutaan user bnyk yg tertipu, buka emas super ribet dlm pengembalian dana, berlindung dari term& service nya.perkaya diri aja owner nya, jauh ma shoppe dan aplikasi serupa laennya, trakhir ownernya jelek2in pemerintahan, dan review ini msh sy persingkat ya. fix uninstall aja",
Bukalapak-JualBeliOnline,Ian Putra,Rated 3 stars out of five stars,"March 5, 2019",kenapa ya setelah di upgrade makin lemot aja,"PT Bukalapak.comMarch 6, 2019Mohon maaf atas ketidaknyamanannya Kak, untuk kendala performa aplikasi bisa terjadi dari beberapa faktor, antara lain kondisi sinyal dan pastikan juga melakukan clear cache di menu setting - apps. Terima kasih atas kritik dan saran yang kakak berikan, ditunggu perubahan review aplikasi Bukalapak ya. :)"
Bukalapak-JualBeliOnline,Himeno13 Sagara,Rated 5 stars out of five stars,"March 5, 2019",good app for looking best price,
Bukalapak-JualBeliOnline,sweety natnin,Rated 5 stars out of five stars,"March 5, 2019",top,
